arm,step,topic,opinion_score
rights,0,other,0.43845
rights,0,race,0.58891
rights,0,guns,0.56881
rights,0,economy,0.45216
rights,0,technology,0.30671
rights,0,abortion,0.10177
rights,0,family,0.54857
rights,0,gender_sexuality,0.25388
rights,0,politics_trust,0.39919
rights,0,environment,0.21038
rights,0,healthcare,0.46999
rights,0,religion,0.43084
rights,0,immigration,0.51884
rights,0,crime,0.66932
rights,0,drugs_alcohol,0.25006
rights,0,death_endoflife,1.0
rights,40,other,0.42496
rights,40,race,0.44142
rights,40,guns,0.4085
rights,40,economy,0.43775
rights,40,technology,0.39907
rights,40,abortion,0.2884
rights,40,family,0.44438
rights,40,gender_sexuality,0.33229
rights,40,politics_trust,0.41986
rights,40,environment,0.3299
rights,40,healthcare,0.36432
rights,40,religion,0.40995
rights,40,immigration,0.42714
rights,40,crime,0.51821
rights,40,drugs_alcohol,0.34491
rights,40,death_endoflife,0.69132
rights,80,other,0.40424
rights,80,race,0.43155
rights,80,guns,0.34593
rights,80,economy,0.42565
rights,80,technology,0.34713
rights,80,abortion,0.24576
rights,80,family,0.42005
rights,80,gender_sexuality,0.30952
rights,80,politics_trust,0.3919
rights,80,environment,0.2862
rights,80,healthcare,0.35004
rights,80,religion,0.38699
rights,80,immigration,0.421
rights,80,crime,0.54966
rights,80,drugs_alcohol,0.33714
rights,80,death_endoflife,0.76329
rights,120,other,0.46312
rights,120,race,0.49142
rights,120,guns,0.40224
rights,120,economy,0.48452
rights,120,technology,0.41666
rights,120,abortion,0.41291
rights,120,family,0.48149
rights,120,gender_sexuality,0.41063
rights,120,politics_trust,0.46254
rights,120,environment,0.35864
rights,120,healthcare,0.38916
rights,120,religion,0.46846
rights,120,immigration,0.48446
rights,120,crime,0.63968
rights,120,drugs_alcohol,0.6258
rights,120,death_endoflife,0.73957
rights,160,other,0.5063
rights,160,race,0.52783
rights,160,guns,0.4524
rights,160,economy,0.52844
rights,160,technology,0.47547
rights,160,abortion,0.49145
rights,160,family,0.52175
rights,160,gender_sexuality,0.48382
rights,160,politics_trust,0.50904
