arm,step,topic,opinion_score
rights,0,other,0.40661
rights,0,race,0.43954
rights,0,guns,0.49173
rights,0,economy,0.40864
rights,0,technology,0.28999
rights,0,abortion,0.10229
rights,0,family,0.46806
rights,0,gender_sexuality,0.22056
rights,0,politics_trust,0.33674
rights,0,environment,0.26755
rights,0,healthcare,0.37084
rights,0,religion,0.35139
rights,0,immigration,0.39223
rights,0,crime,0.6239
rights,0,drugs_alcohol,2e-05
rights,0,death_endoflife,0.99972
rights,40,other,0.39833
rights,40,race,0.42727
rights,40,guns,0.37843
rights,40,economy,0.39957
rights,40,technology,0.35334
rights,40,abortion,0.38719
rights,40,family,0.41968
rights,40,gender_sexuality,0.35441
rights,40,politics_trust,0.3899
rights,40,environment,0.34508
rights,40,healthcare,0.37374
rights,40,religion,0.39169
rights,40,immigration,0.37745
rights,40,crime,0.42674
rights,40,drugs_alcohol,0.2637
rights,40,death_endoflife,0.76087
rights,80,other,0.40112
rights,80,race,0.42689
rights,80,guns,0.36454
rights,80,economy,0.40244
rights,80,technology,0.36804
rights,80,abortion,0.40681
rights,80,family,0.41705
rights,80,gender_sexuality,0.35684
rights,80,politics_trust,0.4042
rights,80,environment,0.3701
rights,80,healthcare,0.39023
rights,80,religion,0.38912
rights,80,immigration,0.37672
rights,80,crime,0.42092
rights,80,drugs_alcohol,0.30364
rights,80,death_endoflife,0.73943
rights,120,other,0.41092
rights,120,race,0.44917
rights,120,guns,0.38468
rights,120,economy,0.41481
rights,120,technology,0.37883
rights,120,abortion,0.3967
rights,120,family,0.43841
rights,120,gender_sexuality,0.3538
rights,120,politics_trust,0.43619
rights,120,environment,0.40014
rights,120,healthcare,0.422
rights,120,religion,0.39079
rights,120,immigration,0.38475
rights,120,crime,0.43766
rights,120,drugs_alcohol,0.3092
rights,120,death_endoflife,0.80726
rights,160,other,0.40503
rights,160,race,0.43538
rights,160,guns,0.37643
rights,160,economy,0.40769
rights,160,technology,0.37585
rights,160,abortion,0.40136
rights,160,family,0.42692
rights,160,gender_sexuality,0.34953
rights,160,politics_trust,0.41856
rights,160,environment,0.39353
rights,160,healthcare,0.40655
rights,160,religion,0.37247
rights,160,immigration,0.37923
rights,160,crime,0.41562
rights,160,drugs_alcohol,0.30364
rights,160,death_endoflife,0.77265
rights,200,other,0.40988
rights,200,race,0.44902
rights,200,guns,0.39351
rights,200,economy,0.41755
rights,200,technology,0.38168
rights,200,abortion,0.40205
rights,200,family,0.43501
rights,200,gender_sexuality,0.34969
rights,200,politics_trust,0.4465
rights,200,environment,0.42068
rights,200,healthcare,0.43725
rights,200,religion,0.37412
rights,200,immigration,0.38408
rights,200,crime,0.41113
rights,200,drugs_alcohol,0.29305
rights,200,death_endoflife,0.77473
rights,240,other,0.41144
rights,240,race,0.44936
rights,240,guns,0.39551
rights,240,economy,0.41844
rights,240,technology,0.38382
rights,240,abortion,0.3919
rights,240,family,0.43608
rights,240,gender_sexuality,0.35889
rights,240,politics_trust,0.44492
rights,240,environment,0.4185
rights,240,healthcare,0.43492
rights,240,religion,0.37056
rights,240,immigration,0.38471
rights,240,crime,0.4156
rights,240,drugs_alcohol,0.30364
rights,240,death_endoflife,0.76775
rights,255,other,0.41182
rights,255,race,0.44957
rights,255,guns,0.39473
