arm,step,topic,opinion_score
rights,0,other,0.38387
rights,0,race,0.47535
rights,0,guns,0.53834
rights,0,economy,0.38812
rights,0,technology,0.27341
rights,0,abortion,0.08326
rights,0,family,0.49202
rights,0,gender_sexuality,0.25083
rights,0,politics_trust,0.3744
rights,0,environment,0.19447
rights,0,healthcare,0.4247
rights,0,religion,0.40526
rights,0,immigration,0.43514
rights,0,crime,0.55968
rights,0,drugs_alcohol,0.2202
rights,0,death_endoflife,1.0
rights,40,other,0.37268
rights,40,race,0.40212
rights,40,guns,0.36392
rights,40,economy,0.38552
rights,40,technology,0.34223
rights,40,abortion,0.21885
rights,40,family,0.40614
rights,40,gender_sexuality,0.28393
rights,40,politics_trust,0.36591
rights,40,environment,0.27342
rights,40,healthcare,0.34816
rights,40,religion,0.36017
rights,40,immigration,0.3784
rights,40,crime,0.38081
rights,40,drugs_alcohol,0.15936
rights,40,death_endoflife,0.78624
rights,80,other,0.36525
rights,80,race,0.38937
rights,80,guns,0.33055
rights,80,economy,0.38403
rights,80,technology,0.31674
rights,80,abortion,0.18744
rights,80,family,0.38525
rights,80,gender_sexuality,0.27368
rights,80,politics_trust,0.37518
rights,80,environment,0.27282
rights,80,healthcare,0.35638
rights,80,religion,0.35157
rights,80,immigration,0.37535
rights,80,crime,0.40372
rights,80,drugs_alcohol,0.20261
rights,80,death_endoflife,0.83622
rights,120,other,0.35233
rights,120,race,0.38288
rights,120,guns,0.3219
rights,120,economy,0.36706
rights,120,technology,0.29815
rights,120,abortion,0.20074
rights,120,family,0.37266
rights,120,gender_sexuality,0.26982
rights,120,politics_trust,0.36465
rights,120,environment,0.25703
rights,120,healthcare,0.33413
rights,120,religion,0.34958
rights,120,immigration,0.37603
rights,120,crime,0.41235
rights,120,drugs_alcohol,0.17276
rights,120,death_endoflife,0.90468
rights,160,other,0.35612
rights,160,race,0.38571
rights,160,guns,0.323
rights,160,economy,0.36599
rights,160,technology,0.30334
rights,160,abortion,0.20213
rights,160,family,0.37451
rights,160,gender_sexuality,0.26441
rights,160,politics_trust,0.37291
rights,160,environment,0.26159
rights,160,healthcare,0.34707
rights,160,religion,0.34594
rights,160,immigration,0.36895
rights,160,crime,0.39733
rights,160,drugs_alcohol,0.178
rights,160,death_endoflife,0.90343
rights,200,other,0.35597
rights,200,race,0.38909
rights,200,guns,0.33296
rights,200,economy,0.36656
rights,200,technology,0.30499
rights,200,abortion,0.19331
rights,200,family,0.37299
rights,200,gender_sexuality,0.26827
rights,200,politics_trust,0.37989
rights,200,environment,0.26472
rights,200,healthcare,0.3578
rights,200,religion,0.34017
rights,200,immigration,0.38039
rights,200,crime,0.40471
rights,200,drugs_alcohol,0.1415
rights,200,death_endoflife,0.91246
rights,240,other,0.35609
rights,240,race,0.38773
rights,240,guns,0.33169
rights,240,economy,0.36513
rights,240,technology,0.30432
rights,240,abortion,0.201
rights,240,family,0.37386
rights,240,gender_sexuality,0.26648
rights,240,politics_trust,0.37759
rights,240,environment,0.26629
rights,240,healthcare,0.3568
rights,240,religion,0.34018
rights,240,immigration,0.38267
rights,240,crime,0.39445
rights,240,drugs_alcohol,0.13642
rights,240,death_endoflife,0.91733
rights,255,other,0.3563
rights,255,race,0.38846
rights,255,guns,0.33093
rights,255,economy,0.36566
rights,255,technology,0.30446
rights,255,abortion,0.19477
rights,255,family,0.37311
rights,255,gender_sexuality,0.26602
rights,255,politics_trust,0.37824
rights,255,environment,0.2659
rights,255,healthcare,0.35678
rights,255,religion,0.33793
rights,255,immigration,0.38161
rights,255,crime,0.40065
rights,255,drugs_alcohol,0.13714
rights,255,death_endoflife,0.91733
rights,256,other,0.3563
rights,256,race,0.38846
rights,256,guns,0.33093
rights,256,economy,0.36566
rights,256,technology,0.30446
rights,256,abortion,0.19477
rights,256,family,0.37311
rights,256,gender_sexuality,0.26602
rights,256,politics_trust,0.37824
rights,256,environment,0.2659
rights,256,healthcare,0.35678
rights,256,religion,0.33793
rights,256,immigration,0.38161
rights,256,crime,0.40065
rights,256,drugs_alcohol,0.13714
rights,256,death_endoflife,0.91733
control,0,other,0.38387
control,0,race,0.47535
control,0,guns,0.53834
control,0,economy,0.38812
control,0,technology,0.27341
control,0,abortion,0.08326
control,0,family,0.49202
control,0,gender_sexuality,0.25083
control,0,politics_trust,0.3744
control,0,environment,0.19447
control,0,healthcare,0.4247
control,0,religion,0.40526
control,0,immigration,0.43514
control,0,crime,0.55968
control,0,drugs_alcohol,0.2202
control,0,death_endoflife,1.0
control,40,other,0.38828
control,40,race,0.39915
control,40,guns,0.43288
control,40,economy,0.39131
control,40,technology,0.36161
control,40,abortion,0.21402
control,40,family,0.42388
control,40,gender_sexuality,0.31756
control,40,politics_trust,0.37357
control,40,environment,0.28251
control,40,healthcare,0.33408
control,40,religion,0.38696
control,40,immigration,0.38372
control,40,crime,0.41911
control,40,drugs_alcohol,0.18874
control,40,death_endoflife,0.56815
control,80,other,0.38202
control,80,race,0.3935
control,80,guns,0.43455
control,80,economy,0.38736
control,80,technology,0.351
control,80,abortion,0.17758
control,80,family,0.40649
control,80,gender_sexuality,0.29724
control,80,politics_trust,0.37169
control,80,environment,0.27716
control,80,healthcare,0.33055
control,80,religion,0.38748
control,80,immigration,0.38087
control,80,crime,0.40205
control,80,drugs_alcohol,0.19789
control,80,death_endoflife,0.53319
control,120,other,0.37514
control,120,race,0.38425
control,120,guns,0.44441
control,120,economy,0.37988
control,120,technology,0.33543
control,120,abortion,0.17753
control,120,family,0.39169
control,120,gender_sexuality,0.28639
control,120,politics_trust,0.36631
control,120,environment,0.28585
control,120,healthcare,0.33479
control,120,religion,0.387
control,120,immigration,0.38393
control,120,crime,0.38804
control,120,drugs_alcohol,0.17018
control,120,death_endoflife,0.52139
control,160,other,0.36612
control,160,race,0.37493
control,160,guns,0.41723
control,160,economy,0.37349
control,160,technology,0.32715
control,160,abortion,0.1702
control,160,family,0.38281
control,160,gender_sexuality,0.27622
control,160,politics_trust,0.3611
control,160,environment,0.27764
control,160,healthcare,0.33496
control,160,religion,0.37686
control,160,immigration,0.37985
control,160,crime,0.367
control,160,drugs_alcohol,0.18233
control,160,death_endoflife,0.50963
control,200,other,0.3723
control,200,race,0.37917
control,200,guns,0.43058
control,200,economy,0.37962
control,200,technology,0.33615
